year,score,balls_taken,short_length,runs_in_short,good_length,runs_in_good,full_length,runs_in_full,dismissal,bowler,dismissal_length,dismissal_shot,pace_balls_faced,spin_balls_faced,opposition,sr,dot_balls,singles,doubles,4s,6s
2026,96,47,24,58,12,14,11,24,Caught Third Man,Kagiso Rabada,Short,Upper Cut,36,11,GT,204.2,16,12,5,8,7
2026,97,29,8,39,4,8,17,50,Caught Third Man,Praful Hinge,Short,Upper Cut,29,0,SRH,334.4,8,5,0,5,12
2026,4,6,0,0,2,1,4,3,Caught Deep Point,Deepak Chahar,Full,Lofted Drive,3,3,MI,66.6,1,4,0,0,0
2026,93,38,18,48,8,18,12,27,Caught Long on,Mohsin Khan,Full,Hoick,25,13,LSG,244.7,14,6,2,7,10
2026,46,21,10,21,5,7,6,18,Caught Long on,Madhav Tiwari,Full,Lofted Shot,14,7,DC,219,5,8,0,5,3
2026,36,16,10,25,2,0,4,11,Caught Short Fine,Mohammed Siraj,Short,Pull,16,0,GT,225,7,2,2,3,3
2026,4,2,0,0,0,0,2,4,Bowled,Kyle Jamieson,Full,Defensive Push,2,0,DC,200,1,0,0,1,0
2026,43,16,2,4,4,7,10,32,Caught Mid Off,Arshdeep Singh,Full,Lofted Shot,16,0,PBKS,268.7,7,1,0,3,5
2026,103,37,11,39,8,20,18,44,LBW,Sakib Hussain,Good,Reverse Lap,26,11,SRH,278.3,11,8,1,5,12
2026,8,11,4,0,6,8,1,0,Caught Cover,Mohsin Khan,Good,Lofted Leg-side shot,11,0,LSG,72.7,9,0,0,2,0
2026,46,28,10,18,8,12,10,16,Caught Deep Mid Wicket,Varun Chakarwarthy,Full,Slog sweep,17,11,KKR,164.2,11,9,0,6,2
2026,0,1,1,0,0,0,0,0,Caught Wicketkeeper,Praful Hinge,Short,Pull,1,0,SRH,0,1,0,0,0,0
2026,78,26,8,26,7,20,11,32,Caught Long on,Krunal Pandya,Short,Flat bat shot,20,6,RCB,300,8,5,0,8,7
2026,39,14,2,1,4,2,8,36,Caught Deep Extra Cover,Shardul Thakur,Full,Lofted Drive,14,0,MI,278.5,4,4,0,1,5
2026,31,18,10,19,4,4,4,8,Caught Deep Mid Wicket,Rashid Khan,Short,Pull,17,1,GT,172.2,8,5,0,5,1
2026,52,17,4,12,8,22,5,18,Caught Deep Cover,Anshul Kamboj,Good,Flayed Cover Drive,13,4,CSK,305.8,3,4,1,4,5
2025,57,33,1,6,16,19,16,32,Caught Short Third Man,Ashwin,Good,Slog,0,33,CSK,172.7,10,14,1,4,4
2025,40,15,5,14,5,10,5,16,Caught Mid Off,Harpreet Brar,Full,Wristy Loft,10,5,PBKS,266.7,7,0,0,4,4
2025,4,2,1,0,0,0,1,4,Caught Mid Wicket,Vaibhav Arora,Short,Pull,2,0,KKR,200,1,0,0,1,0
2025,0,2,0,0,0,0,2,0,Caught Mid On,Deepak Chahar,Full,Lofted Shot,2,0,MI,0,2,0,0,0,0
2025,101,38,10,34,14,27,14,40,Bowled,Prasidh Krishna,Full,Yorker Miss,24,14,GT,265.8,12,7,1,7,11
2025,16,12,5,14,3,1,4,1,Bowled,Bhuvneshwar Kumar,Full,Missed Lofted Drive,12,0,RCB,133.3,8,2,1,0,2
2025,34,20,2,6,12,16,6,12,Stumped,Markram,Good,Missed Flick,0,20,LSG,170,8,7,0,2,3
